"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1276,"CALF Turnkey","South Dublin","De Selby Lawns, Tallaght, Dublin 24 (Phase 1)",9,"T�ath Housing Association Ltd","","","","","Q4-2018",""
1277,"CALF Turnkey","South Dublin","Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,"Cluid Housing","","","","","","Q1-2018"
1278,"CALF Turnkey","South Dublin","Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,"Cluid Housing","","","","","","Q1-2018"
1279,"CALF Turnkey","South Dublin","Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,"Cluid Housing","","","","","","Q3-2018"
1280,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,"Cluid Housing","","","","","","Q1-2018"
1281,"CALF Turnkey","South Dublin","Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,"Cluid Housing","","","","","","Q2-2018"
1282,"CALF Construction","South Dublin","Fernwood Green and Maplewood Heights, Tallaght, Dublin  (Phase 1)",40,"Cluid Housing","","","","Q1-2019","",""
1283,"CALF Turnkey","South Dublin","Finnstown, Lucan, Co. Dublin (Phase 1)*",94,"Respond","","","","","Q4-2018",""
1284,"CALF Turnkey","South Dublin","Kingswood, Old Ballymount Road, Tallaght, Dublin 24 (Phase 1)*",24,"Respond","","","","","Q4-2018",""
1285,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 1)*",13,"Cluid Housing","","","","","","Q2-2018"
1286,"CALF Turnkey","South Dublin","Millford Manor, Clondalkin - Apartments (Phase 2)",12,"Cluid Housing","","","","","","Q4-2018"
