No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
909,CALF Turnkey,Fingal,"Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin

 (Phase 1)*",10,Clúid Housing,,,,,,Q2-2020,,,,,,,,,,,,,
910,CALF Turnkey,Fingal,"Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin

 (Phase 2)*",5,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
911,CALF Turnkey,Fingal,"Dunsoghly, Dublin 11 (Phase 1)*",19,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
912,CALF Turnkey,Fingal,"Knightsgate, Rush, Co. Dublin (Phase 1)*",38,Clúid Housing,,,,,,Q4-2019,,,,,,,,,,,,,
913,CALF Turnkey,Fingal,"Knightsgate, Rush, Co. Dublin (phase 2) (Phase 1)",19,Clúid Housing,,,,,,Q3-2020,,,,,,,,,,,,,
914,CALF Construction,Fingal,"Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
915,CALF Turnkey,Fingal,"Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,Clúid Housing,,,,,,Q4-2018,,,,,,,,,,,,,
916,CALF Turnkey,Fingal,"Lusk Village, Lusk, Co. Dublin, Phase 2  (Phase 1)*",14,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
917,CALF Turnkey,Fingal,"Lusk Village, Lusk, Co. Dublin, Phase 2  (Phase 2)*",4,Clúid Housing,,,,,Q3-2020,,,,,,,,,,,,,,
918,CALF Turnkey,Fingal,"Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,Respond,,,,,,Q3-2018,,,,,,,,,,,,,
919,CALF Turnkey,Fingal,"Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",28,The Iveagh Trust,,,,,,Q4-2020,,,,,,,,,,,,,
920,CALF Turnkey,Fingal,"Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,The Iveagh Trust,,,,,,Q4-2019,,,,,,,,,,,,,
921,CALF Turnkey,Fingal,"Norseman's Court, Norseman's Walk, Lusk Village, Lusk, Co. Dublin (Phase 1)*",18,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
922,CALF Turnkey,Fingal,"Northwood Green, Santry, Dublin 9 (Phase 1)*",6,Respond,,,,,,Q4-2018,,,,,,,,,,,,,
923,CALF Turnkey,Fingal,"Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",48,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
924,CALF Turnkey,Fingal,"Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 2)*",7,Respond,,,,,,Q2-2020,,,,,,,,,,,,,
925,CALF Construction,Fingal,"Old Coolock Lane, Santry, Dublin 9 (Phase 1)",28,Circle Voluntary Housing Association Ltd,,,,Q1-2019,,,,,,,,,,,,,,,
926,CALF Turnkey,Fingal,"Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)",17,Respond,,,,,,Q4-2020,,,,,,,,,,,,,
927,CALF Turnkey,Fingal,"Old Corduff Road, Blanchardstown, Dublin 15 (Phase 2)*",10,Respond,,,,,,Q2-2021,,,,,,,,,,,,,
928,CALF Turnkey,Fingal,"Oldtown, Swords, Co Dublin (Phase 1)",30,Respond,,,,Q3-2021,,,,,,,,,,,,,,,
929,CALF Turnkey,Fingal,"Oldtown, Swords, Co Dublin (Phase 2)",30,Respond,,,,Q3-2021,,,,,,,,,,,,,,,
930,CALF Turnkey,Fingal,"Oldtown, Swords, Co Dublin (Phase 3)",39,Respond,,,,Q3-2021,,,,,,,,,,,,,,,
931,CALF Turnkey,Fingal,"Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,Tuath Housing Association,,,,,,Q3-2019,,,,,,,,,,,,,
932,CALF Turnkey,Fingal,"Phoenix Park Avenue, Castleknock, Dublin 15 (Phase 1)*",31,Fold Housing Association Ireland Ltd,,,,,,Q4-2019,,,,,,,,,,,,,
933,CALF Turnkey,Fingal,"Riverwood Square, Porterstown, Dublin 15 (Phase 1)*",24,Clúid Housing,,,,,,Q3-2021,,,,,,,,,,,,,
934,CALF Turnkey,Fingal,"Semple Woods, Donabate, Co. Dublin (Phase 1)*",7,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
935,CALF Turnkey,Fingal,"Semple Woods, Donabate, Co. Dublin (Phase 2)*",3,Tuath Housing Association,,,,,Q4-2019,,,,,,,,,,,,,,
936,CALF Turnkey,Fingal,"Semple Woods, Donabate, North County Dublin (Phase 1)*",30,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
937,CALF Turnkey,Fingal,"St Josephs, Clonsilla, Dublin 15 (Phase 1)*",28,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
938,CALF Turnkey,Fingal,"St Marnock’s Bay, Portmarnock, Co Dublin   (Phase 1)*",10,Clúid Housing,,,,,,Q4-2017,,,,,,,,,,,,,
939,CALF Turnkey,Fingal,St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*,18,Tuath Housing Association,,,,,,Q4-2017,,,,,,,,,,,,,
940,CALF Turnkey,Fingal,"Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,,,,,Q2-2019,,,,,,,,,,,,,
941,CALF Turnkey,Fingal,"Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 2)*",8,Circle Voluntary Housing Association Ltd,,,,,,Q4-2021,,,,,,,,,,,,,
942,CALF Turnkey,Fingal,"Taylor Hill Crescent, Balbriggan, Co. Dublin (Phase 1)",4,Clúid Housing,,,,,,Q4-2018,,,,,,,,,,,,,
943,CALF Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",21,Clúid Housing,,,,,,Q2-2020,,,,,,,,,,,,,
944,CALF Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,Clúid Housing,,,,,,Q4-2018,,,,,,,,,,,,,
945,CALF Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",24,Clúid Housing,,,,,,Q4-2019,,,,,,,,,,,,,
946,CALF Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",7,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
947,CALF Turnkey,Fingal,"Taylor Hill, Balbriggan, Co. Dublin (Phase 2)",1,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
948,CALF Turnkey,Fingal,"The Forge, Lusk, Co. Dublin (Phase 1)",8,Oaklee Housing,,,,,,Q4-2019,,,,,,,,,,,,,
949,CALF Turnkey,Fingal,"The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,Clúid Housing,,,,,,Q4-2017,,,,,,,,,,,,,
950,CALF Turnkey,Fingal,"Waterside, Malahide, Dublin (Phase 1)",5,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
951,CALF Turnkey,Fingal,"Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2018,,,,,,,,,,,,,
952,CALF Turnkey,Fingal,"Weston, Feltrim Road, Swords, North County Dublin (Phase 1)",24,Oaklee Housing,,,,,,Q4-2019,,,,,,,,,,,,,
953,CALF Turnkey,Fingal,"Weston, Feltrim Road, Swords, North County Dublin (Phase 2)*",10,Oaklee Housing,,,,,,Q3-2020,,,,,,,,,,,,,
954,CALF Turnkey,Fingal," Wrens Hill, (Formerly The Galleries),  Donabate, Co. Dublin (Phase 1)",43,Oaklee Housing,,,,,,Q4-2019,,,,,,,,,,,,,
955,SHIP CONSTRUCTION TURNKEY,Galway City,"Radharc na Gréine, (Glasshouse Site) Monivea Road",6,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
956,SHIP CONSTRUCTION TURNKEY,Galway City,"Radharc na Gréine, (Glasshouse Site) Monivea Road",16,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
957,SHIP CONSTRUCTION TURNKEY,Galway City,"Radharc na Gréine, (Glasshouse Site) Monivea Road",7,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
958,SHIP CONSTRUCTION TURNKEY,Galway City,"Radharc na Gréine, (Glasshouse Site) Monivea Road",13,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
959,SHIP CONSTRUCTION TURNKEY,Galway City,"Radharc na Gréine, (Glasshouse Site) Monivea Road",8,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
960,SHIP CONSTRUCTION TURNKEY,Galway City,"Garraí Caol, (Coast Road Site) Dublin Road",26,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
961,SHIP CONSTRUCTION TURNKEY,Galway City,"Garraí Caol, (Coast Road Site) Dublin Road",22,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
962,SHIP CONSTRUCTION,Galway City,"Ard Cré, Ballymoneen Road (Phase 2)",78,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
963,SHIP CONSTRUCTION,Galway City,"Ard Cré, Ballymoneen Road (Phase 1)",14,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
964,SHIP CONSTRUCTION,Galway City,"An Cliathán, Old Monivea Road, Ballybaan Mór",15,*N/A,,,"Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
965,SHIP CONSTRUCTION,Galway City,"Garraí Beag, Monivea Road, Ballybaan More",58,*N/A,,,,,Q1-2020,,,,,,,,,,,,,,
966,SHIP CONSTRUCTION,Galway City,"Headford Road, Castlegar",24,*N/A,"Stage 1 approved Q3-2018, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
967,SHIP CONSTRUCTION,Galway City,"Keeraun, Ballymoneen Road",63,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
968,SHIP CONSTRUCTION,Galway City,"Tirellan Heights, Headford Road",1,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
969,SHIP CONSTRUCTION,Galway City,"Merlin Park Lands, Galway City",18,*N/A,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
970,SHIP CONSTRUCTION,Galway City,"1 Munster Avenue, Galway city",4,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
971,CAS CONSTRUCTION,Galway City,97/98 Rockfield,4,Carraig Dubh Housing Association,,,,,,Q1-2018,,,,,,,,,,,,,
972,CAS CONSTRUCTION,Galway City,"Cul Garrai, Rahoon",6,Peter Triest Housing Association Ltd,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
973,CAS CONSTRUCTION,Galway City,"47 Forster Street, Galway City (Domestic Violence Refuge)",9,Cope Galway,,,,,,Q4-2019,,,,,,,,,,,,,
974,CAS CONSTRUCTION,Galway City,"Doughiska, Galway City",7,Respond,"Stage 1 approved Q2-2019, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
975,CAS CONSTRUCTION,Galway City,"111 Upper Newcastle Road, Galway City",10,Simon Community : North West Simon,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
976,CALF Turnkey,Galway City,"Ballybanemor Road, Ballybrit, Galway (Phase 1)*",52,Respond,,,,,Q2-2021,,,,,,,,,,,,,,
977,CALF Turnkey,Galway City,"Ballybanemor Road, Ballybrit, Galway (Phase 2)",49,Respond,,,,,Q2-2021,,,,,,,,,,,,,,
978,CALF Turnkey,Galway City,"Belmont, Renmore, Galway City (Phase 1)*",16,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2019,,,,,,,,,,,,,
979,CALF Turnkey,Galway City,"Block C, Sraith Fhada, Doughiska, Galway (Phase 1)",11,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
980,CALF Turnkey,Galway City,"Block D, Sraith Fhada, Doughiska, Galway (Phase 1)",14,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
981,CALF Turnkey,Galway City,"Boireann Beag, Ros Cam, Galway (Phase 1)",16,Clúid Housing,,,,,,Q4-2016,,,,,,,,,,,,,
982,CALF Turnkey,Galway City,"Breacan, Letteragh Road, Galway City (Phase 1)*",2,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
983,CALF Turnkey,Galway City,"Briar Hill, Old Monivea Road, Ballybrit, Galway (Phase 1)",7,Co - Operative Housing Ireland Society Limited,,,,,Q3-2020,,,,,,,,,,,,,,
984,CALF Turnkey,Galway City,"Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 1)",7,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
985,CALF Turnkey,Galway City,"Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 2)*",8,Respond,,,,,,Q3-2020,,,,,,,,,,,,,
986,CALF Turnkey,Galway City,"Caireal Mor, Castlegar Road, Galway (Phase 1)",10,Respond,,,,,,Q4-2019,,,,,,,,,,,,,
987,CALF Turnkey,Galway City,"Caireal Mor, Castlegar Road, Galway (Phase 2)",71,Respond,,,,,,Q4-2020,,,,,,,,,,,,,
988,CALF Turnkey,Galway City,"Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,Clúid Housing,,,,,,Q3-2017,,,,,,,,,,,,,
989,CALF Turnkey,Galway City,"Creig Ard, Roscam, Galway City  (Phase 1)",9,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
990,CALF Turnkey,Galway City,"Creig Ard, Roscam, Galway City  (Phase 2)",10,Clúid Housing,,,,,,Q2-2021,,,,,,,,,,,,,
991,CALF Turnkey,Galway City,"Creig Ard, Roscam, Galway City, Co. Galway (Phase 1)*",17,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
992,CALF Turnkey,Galway City,"Cuirt Bhoirne, Roscam, Co Galway (Phase 1)*",12,Clúid Housing,,,,,Q3-2020,,,,,,,,,,,,,,
993,CALF Turnkey,Galway City,"Fanan, Letteragh Road, Galway (Phase 1)*",4,Tuath Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
994,CALF Turnkey,Galway City,"Fanan, Letteragh Road, Galway (Phase 2)*",6,Tuath Housing Association,,,,,Q4-2019,,,,,,,,,,,,,,
995,CALF Turnkey,Galway City,"Gaelcarrig, Letteragh, Galway City (Phase 1)*",40,Respond,,,,,Q3-2020,,,,,,,,,,,,,,
996,CALF Turnkey,Galway City,"Gaelcarrig, Letteragh, Galway City (Phase 2)",43,Respond,,,,,Q3-2020,,,,,,,,,,,,,,
997,CALF Turnkey,Galway City,"Glenn Na Mona, Ballymoneen Road, Kncoknacarra, Galway (Phase 1)*",16,Clúid Housing,,,,,Q1-2021,,,,,,,,,,,,,,
998,CALF Turnkey,Galway City,"Leana Mor, Cappagh Road, Galway (Phase 1)*",14,Respond,,,,,Q2-2021,,,,,,,,,,,,,,
999,CALF Turnkey,Galway City,"Leana Mor, Cappagh Road, Galway (Phase 2)*",28,Respond,,,,,Q2-2021,,,,,,,,,,,,,,
1000,CALF Turnkey,Galway City,"Leana Theas, Cappagh Road, Galway City (Phase 1)*",10,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2019,,,,,,,,,,,,,
1001,CALF Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 1)*",10,Clúid Housing,,,,,,Q3-2021,,,,,,,,,,,,,
1002,CALF Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 2)",13,Clúid Housing,,,,,,Q4-2021,,,,,,,,,,,,,
1003,CALF Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 3)",16,Clúid Housing,,,,,Q3-2020,,,,,,,,,,,,,,
1004,CALF Turnkey,Galway City,"Letteragh Road, Rahoon, Galway City (Phase 4)*",25,Clúid Housing,,,,,Q3-2020,,,,,,,,,,,,,,
1005,CALF Turnkey,Galway City,"Maigh Rua, Doughiska, Galway  (Phase 1)",23,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2017,,,,,,,,,,,,,
1006,CALF Turnkey,Galway City,"Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,Tuath Housing Association,,,,,,Q1-2017,,,,,,,,,,,,,
1007,CALF Turnkey,Galway City,"Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,Tuath Housing Association,,,,,,Q4-2017,,,,,,,,,,,,,
1008,CALF Turnkey,Galway City,"Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,Tuath Housing Association,,,,,,Q3-2018,,,,,,,,,,,,,
1009,CALF Turnkey,Galway City,"Reilean, Roscam, Block 5 Galway (Phase 1)*",12,Tuath Housing Association,,,,,,Q2-2017,,,,,,,,,,,,,
1010,CALF Turnkey,Galway City,"Reilean, Roscam,Block 4 Galway (Phase 1)*",12,Tuath Housing Association,,,,,,Q2-2017,,,,,,,,,,,,,
1011,CALF Turnkey,Galway City,"Revised Murrough, Renmore, Galway  (Phase 1)*",20,Clúid Housing,,,,,,Q1-2019,,,,,,,,,,,,,
1012,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Galway City,Ballyburke (Phase 1),56,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
1013,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Galway City,Ballyburke (Phase 2),18,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
1014,SHIP CONSTRUCTION TURNKEY,Galway County,"Lorro Gate, Prospect, Athenry",14,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1015,SHIP CONSTRUCTION TURNKEY,Galway County,"Arvough, Kinvara",6,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1016,SHIP CONSTRUCTION TURNKEY,Galway County,"Castlecourt, Abbey Street, Portumna",10,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1017,SHIP CONSTRUCTION TURNKEY,Galway County,"Ashthorn Avenue, Headford",10,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1018,SHIP CONSTRUCTION TURNKEY,Galway County,"Cuirt na hAbhann, Claregalway ",8,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1019,SHIP CONSTRUCTION TURNKEY,Galway County,"Tullahill, Loughrea",19,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1020,SHIP CONSTRUCTION TURNKEY,Galway County,"Tullahill, Loughrea",17,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1021,SHIP CONSTRUCTION TURNKEY,Galway County,"Arvough, Kinvara",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1022,SHIP CONSTRUCTION TURNKEY,Galway County,"Tullahill, Loughrea",10,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1023,SHIP CONSTRUCTION TURNKEY,Galway County,"Tullahill, Loughrea",15,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1024,SHIP CONSTRUCTION TURNKEY,Galway County,"Kylebroughlan, Moycullen ",8,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1025,SHIP CONSTRUCTION TURNKEY,Galway County,"Kylebroughlan, Moycullen ",10,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1026,SHIP CONSTRUCTION TURNKEY,Galway County,"Kylebroughlan, Moycullen ",7,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1027,SHIP CONSTRUCTION TURNKEY,Galway County,"Kylebroughlan, Moycullen ",9,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
1028,SHIP CONSTRUCTION TURNKEY,Galway County,"Kylebroughlan, Moycullen ",10,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
1029,SHIP CONSTRUCTION TURNKEY,Galway County,"Garraí Mhic Aodha, Tubber Road, Gort (Phase 1)",9,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1030,SHIP CONSTRUCTION TURNKEY,Galway County,"Tullahill, Loughrea",9,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1031,SHIP CONSTRUCTION TURNKEY,Galway County,"Garraí Mhic Aodha, Tubber Road, Gort (Phase 2)",18,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1032,SHIP CONSTRUCTION TURNKEY,Galway County,"Cullairbaun, Athenry",14,*N/A,,,,,Q4-2021,,,,,,,,,,,,,,
1033,SHIP CONSTRUCTION TURNKEY,Galway County,"Garraí Glas, Ballydavid South, Athenry",7,N/A,,,,,Q2-2021,,,,,,,,,,,,,,
1034,SHIP CONSTRUCTION TURNKEY,Galway County,"Cullairbaun, Athenry",13,*N/A,,,,,Q4-2021,,,,,,,,,,,,,,
1035,SHIP CONSTRUCTION SINGLE STAGE,Galway County,"Corralough, Williamstown (SRD)",1,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
1036,SHIP CONSTRUCTION RENEWAL,Galway County,"Dunlo Hill, Ballinasloe",11,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1037,SHIP CONSTRUCTION,Galway County,"Esker Fields, Ballinasloe",2,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1038,SHIP CONSTRUCTION,Galway County,"Garbally Drive, Ballinasloe",10,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1039,SHIP CONSTRUCTION,Galway County,"Na Clocha Rua, An Cheathrú Rua",4,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1040,SHIP CONSTRUCTION,Galway County,Ardrahan (SRD),1,*N/A,,,,,,Q4-2017,,,,,,,,,,,,,
1041,SHIP CONSTRUCTION,Galway County,"Callowfinish, Carna (SRD)",1,*N/A,,,,,,Q2-2018,,,,,,,,,,,,,
1042,SHIP CONSTRUCTION,Galway County,"Waterdale, Claregalway (SRD)",1,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1043,SHIP CONSTRUCTION,Galway County,Corndulla (SRD),1,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
1044,SHIP CONSTRUCTION,Galway County,Cill Ciarán (SRD),1,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
1045,SHIP CONSTRUCTION,Galway County,Kinvara (SRD),1,*N/A,,,,,,Q3-2018,,,,,,,,,,,,,
1046,SHIP CONSTRUCTION,Galway County,"Cnoc na Carraige, Roundstone",8,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
1047,SHIP CONSTRUCTION,Galway County,"Gort na gCloch, Hospital Road, Clifden",18,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
1048,SHIP CONSTRUCTION,Galway County,"Bridge Court, Ahascragh, Ballinasloe",18,*N/A,,,"Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1049,SHIP CONSTRUCTION,Galway County,"Caisleán Raithlín, Ardrahan",10,*N/A,,"Stage 2 approved Q2-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1050,SHIP CONSTRUCTION,Galway County,"Barrack Street, Loughrea",5,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
1051,SHIP CONSTRUCTION,Galway County,"Gilmartin Road, Tuam",24,*N/A,,,,,,Q3-2019,,,,,,,,,,,,,
1052,SHIP CONSTRUCTION,Galway County,"Garraí Ghuaire, Cartron, Kinvara",10,*N/A,,,,,Q3-2021,,,,,,,,,,,,,,
1053,SHIP CONSTRUCTION,Galway County,"Gilmartin Road, Tuam",16,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
1054,SHIP CONSTRUCTION,Galway County,"Fána Bhuí, Tuam (Phase 1 )",16,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
1055,SHIP CONSTRUCTION,Galway County,"Gilmartin Road, Tuam",19,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
1056,SHIP CONSTRUCTION,Galway County,"Cnoc na Carraige, Roundstone",6,*N/A,,,,,,Q1-2021,,,,,,,,,,,,,
1057,SHIP CONSTRUCTION,Galway County,"Ballyglass, Ardrahan (SRD)",1,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1058,SHIP CONSTRUCTION,Galway County,"Woodpark, Portumna (SRD)",1,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1059,SHIP CONSTRUCTION,Galway County,"Carrowmore West, Clontuskert, Ballinasloe (SRD)",1,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1060,SHIP CONSTRUCTION,Galway County,"Woodfield, Dunmore (SRD)",1,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1061,SHIP CONSTRUCTION,Galway County,"Knockaloura West, Brownsgrove, Tuam (SRD)",1,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1062,SHIP CONSTRUCTION,Galway County,"Creggaturlough, Craughwell (SRD)",1,*N/A,,,"Stage 3 approved Q4-2021, the scheme is now approved to proceed to tender.",,,,,,,,,,,,,,,,
1063,SHIP CONSTRUCTION,Galway County,"Gort na gCloch, Hospital Road, Clifden",8,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
1064,SHIP CONSTRUCTION,Galway County,"Fána Bhuí, Tuam (Phase 2)",10,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
1065,SHIP CONSTRUCTION,Galway County,"Fána Bhuí, Tuam (Phase 3)",22,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
1066,SHIP CONSTRUCTION,Galway County,Ballymoe,8,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1067,SHIP CONSTRUCTION,Galway County,"Droim na Gaoithe, Baile Chláir (Claregalway)",45,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1068,SHIP CONSTRUCTION,Galway County,"Cosmona, Loughrea",40,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1069,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 2),11,Cluid Housing Association,,,,,Q4-2020,,,,,,,,,,,,,,
1070,CAS CONSTRUCTION,Galway County,"Rossaveal Cottages, Ros a Mhíl, South Connemara",8,Tearmann Eanna Teoranta,"Stage 1 approved Q4-2016, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
1071,CAS CONSTRUCTION,Galway County,"Cregboy, Claregalway",14,Claregalway and District Day Care Centre,,,,,,Q3-2019,,,,,,,,,,,,,
1072,CAS CONSTRUCTION,Galway County,"Eanach Mheain, Carraroe",13,Tearmann Eanna Teoranta,,"Stage 2 approved Q4-2018, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1073,CAS CONSTRUCTION,Galway County,Mountbellew,5,Túath Housing Association Ltd,,"Stage 2 approved Q4-2019, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1074,CAS CONSTRUCTION,Galway County,"Springfield, Parkmore, Ballinasloe",4,Peter Triest Housing Association Ltd,,"Stage 2 approved Q4-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
1075,CAS CONSTRUCTION,Galway County,Letterfrack (Phase 1),13,Cluid Housing Association,,,,,,Q2-2016,,,,,,,,,,,,,
