"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
721,"CAS CONSTRUCTION","Galway County","Caheroyn, Athenry",4,"Peter Triest Housing Association Ltd","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
722,"CAS CONSTRUCTION","Galway County","Aggard More, Craughwell",4,"Peter Triest Housing Association Ltd","","","","","","Q4-2019"
723,"CAS CONSTRUCTION","Galway County","The Old Post Office, Inverin",4,"Tearmann Eanna Teoranta","","","","","Q4-2019",""
724,"CAS CONSTRUCTION","Galway County","Cregboy, Claregalway",14,"Claregalway and District Day Care Centre","","","","","","Q3-2019"
725,"CAS CONSTRUCTION TURNKEY","Galway County","Tubber Road, Gort",11,"Inis Housing Association Ltd","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
726,"SHIP CONSTRUCTION","Galway County","Corndulla (SRD)",1,"*N/A","","","","","","Q1-2019"
727,"SHIP CONSTRUCTION","Galway County","Ardrahan (SRD)",1,"*N/A","","","","","","Q4-2017"
728,"SHIP CONSTRUCTION","Galway County","Callowfinish, Carna (SRD)",1,"*N/A","","","","","","Q2-2018"
729,"SHIP CONSTRUCTION","Galway County","Waterdale, Claregalway (SRD)",1,"*N/A","","","","","","Q4-2018"
730,"SHIP CONSTRUCTION","Galway County","Esker Fields, Ballinasloe",2,"*N/A","","","","","","Q4-2019"
731,"SHIP CONSTRUCTION","Galway County","Cill Ciar�n (SRD)",1,"*N/A","","","","","","Q3-2018"
732,"SHIP CONSTRUCTION","Galway County","Kinvara (SRD)",1,"*N/A","","","","","","Q3-2018"
733,"SHIP CONSTRUCTION","Galway County","Cnoc na Carraige, Roundstone",10,"*N/A","","","","","Q3-2019",""
734,"SHIP CONSTRUCTION","Galway County","Hospital Road, Clifden",26,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
735,"SHIP CONSTRUCTION","Galway County","Bridge Court, Ahascragh, Ballinasloe",17,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
736,"SHIP CONSTRUCTION","Galway County","Caisle�n Raithl�n, Ardrahan",12,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
737,"SHIP CONSTRUCTION","Galway County","Barrack Street, Loughrea",5,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
