"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
791,"SHIP CONSTRUCTION","Longford","Edgeworthstown Road, Ballymahon",4,"*N/A","","","","","","Q1-2018"
792,"SHIP CONSTRUCTION","Longford","Daroge, Ballymahon",1,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
793,"SHIP CONSTRUCTION","Longford","'Rose Cottage', Ballinalee",6,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
794,"CALF Turnkey","Louth","Castleguard, Ardee, Co. Louth (Phase 7)",22,"T�ath Housing Association Ltd","","","","","Q2-2017",""
795,"CALF Turnkey","Louth","Dublin Road, Dundalk, Co. Louth (Phase 1)",15,"Respond","","","","","Q3-2017",""
796,"CALF Turnkey","Louth","Termon River, Baltray Road, Termonfeckin, Drogheda, Co.Louth (Phase 1)*",1,"North & East Housing Association Ltd","","","","","Q1-2018",""
797,"CALF Turnkey","Louth","Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 2)",10,"T�ath Housing Association Ltd","","","","","Q1-2018",""
798,"CALF Turnkey","Louth","Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 3)",5,"T�ath Housing Association Ltd","","","","","Q1-2018",""
799,"CALF Turnkey","Louth","Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","Q2-2018",""
800,"CALF Turnkey","Louth","Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 2)*",18,"T�ath Housing Association Ltd","","","","","Q2-2018",""
801,"CALF Turnkey","Louth","Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 3)*",15,"T�ath Housing Association Ltd","","","","","Q2-2018",""
802,"CALF Turnkey","Louth","Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 4)*",30,"T�ath Housing Association Ltd","","","","","Q2-2018",""
803,"CALF Turnkey","Louth","Dundoogan, Haynestown, Dundalk, Co. Louth (Phase 5)*",37,"T�ath Housing Association Ltd","","","","","Q2-2018",""
804,"CALF Construction","Louth","Fire Station Site, Scarlett St, Drogheda (Phase 1)",15,"North & East Housing Association Ltd","","","","","Q2-2018",""
805,"CALF Turnkey","Louth","Harbour Grove, Dundalk, Co. Louth (Phase 1)",2,"North & East Housing Association Ltd","","","","","Q3-2018",""
806,"CALF Turnkey","Louth","Harbour Grove, Dundalk, Co. Louth (Phase 2)",6,"North & East Housing Association Ltd","","","","","Q3-2018",""
807,"CALF Turnkey","Louth","The Loakers, Blackrock, Co. Louth (Phase 1)*",16,"Cluid Housing","","","","","Q3-2018",""
808,"CALF Construction","Louth","Bishops Court, Dundalk, Co Louth  (Phase 1)",2,"T�ath Housing Association Ltd","","","","","Q4-2018",""
809,"CALF Turnkey","Louth","2 units An Rian, Termonfeckin Rd., Drogheda, Co. Louth (Phase 1)",2,"North & East Housing Association Ltd","","","","","Q1-2017",""
810,"CALF Turnkey","Louth"," 43 Units at Mount Hamilton, Dundalk, Co Louth (Phase 2)",16,"Cluid Housing","","","","","Q1-2017",""
811,"CALF Turnkey","Louth"," 43 Units at Mount Hamilton, Dundalk, Co Louth (Phase 3)",15,"Cluid Housing","","","","","Q1-2017",""
812,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Phase 2)",14,"North & East Housing Association Ltd","","","","","Q4-2017",""
813,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Phase 3)",9,"North & East Housing Association Ltd","","","","","Q4-2017",""
814,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Phase 4)",12,"North & East Housing Association Ltd","","","","","Q4-2017",""
815,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Phase 5)",16,"North & East Housing Association Ltd","","","","","Q4-2017",""
816,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 5)",6,"T�ath Housing Association Ltd","","","","","Q4-2017",""
817,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 6)",4,"T�ath Housing Association Ltd","","","","","Q4-2017",""
818,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 7)",12,"T�ath Housing Association Ltd","","","","","Q4-2017",""
819,"CALF Construction","Louth","Slieve Row Crescent, Dundalk (Phase 1)",1,"Cluid Housing","","","","","","Q2-2016"
820,"CALF Turnkey","Louth","Rath na Gloine, Commons Road, Louth (Phase 1)",3,"Cluid Housing","","","","","","Q3-2016"
821,"CALF Turnkey","Louth","Coulter Place Armagh Road (Phase 2)",12,"Cluid Housing","","","","","","Q3-2017"
822,"CALF Turnkey","Louth","Castleguard, Ardee, Co. Louth (Phase 1)",9,"T�ath Housing Association Ltd","","","","","","Q1-2018"
823,"CALF Turnkey","Louth","Castleguard, Ardee, Co. Louth (Phase 2)*",20,"T�ath Housing Association Ltd","","","","","","Q1-2018"
824,"CALF Construction","Louth"," Clos na Manach, Carlingford, Co Louth (Phase 1)",10,"T�ath Housing Association Ltd","","","","","","Q2-2018"
825,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 1)",4,"T�ath Housing Association Ltd","","","","","","Q2-2018"
826,"CALF Turnkey","Louth","Aston Village, Drogheda (Phase 1)*",8,"Respond","","","","","","Q3-2018"
827,"CALF Turnkey","Louth","Castleguard, Ardee, Co. Louth (Phase 3)",8,"T�ath Housing Association Ltd","","","","","","Q3-2018"
828,"CALF Turnkey","Louth","Castleguard, Ardee, Co. Louth (Phase 4)",15,"T�ath Housing Association Ltd","","","","","","Q3-2018"
829,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 2)",6,"T�ath Housing Association Ltd","","","","","","Q3-2018"
830,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 3)",4,"T�ath Housing Association Ltd","","","","","","Q3-2018"
831,"CALF Turnkey","Louth","Castleguard, Ardee, Co. Louth (Phase 5)",6,"T�ath Housing Association Ltd","","","","","","Q4-2018"
832,"CALF Turnkey","Louth","Castleguard, Ardee, Co. Louth (Phase 6)*",22,"T�ath Housing Association Ltd","","","","","","Q4-2018"
833,"CALF Turnkey","Louth","Cois Cuain, Upper Point Road, Dundalk, Co. Louth (Phase 1)*",13,"T�ath Housing Association Ltd","","","","","","Q4-2018"
834,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Phase 1)",3,"North & East Housing Association Ltd","","","","","","Q4-2018"
835,"CALF Turnkey","Louth","Rathmullen Road, Drogheda, Co. Louth (Tuath) (Phase 4)",15,"T�ath Housing Association Ltd","","","","","","Q4-2018"
836,"CALF Turnkey","Louth","Castle Court, Castlebellingham, Louth (Phase 1)",4,"Cluid Housing","","","","","","Q1-2017"
837,"CALF Turnkey","Louth","Castle Court, Castlebellingham, Louth (Phase 2)",10,"Cluid Housing","","","","","","Q1-2017"
838,"CALF Turnkey","Louth","Coulter Place Armagh Road (Phase 1)",10,"Cluid Housing","","","","","","Q1-2017"
839,"CALF Turnkey","Louth","Knock Shee, Old Golf Links Road, Blackrock, Co Louth  (Phase 1)",3,"Cluid Housing","","","","","","Q4-2017"
840,"CALF Turnkey","Louth","Liscorrie, Bog Lane, Drogheda (Phase 1)",41,"T�ath Housing Association Ltd","","","","","","Q4-2017"
841,"CALF Turnkey","Louth"," 43 Units at Mount Hamilton, Dundalk, Co Louth (Phase 1)",12,"Cluid Housing","","","","","","Q4-2017"
842,"SHIP CONSTRUCTION SINGLE STAGE","Louth","Bothar Brugha, Drogheda",3,"*N/A","","","","","","Q4-2017"
843,"SHIP CONSTRUCTION","Louth","CPO Bundle 2 - Phase 1",4,"*N/A","","","","","","Q1-2018"
844,"SHIP CONSTRUCTION","Louth","CPO Bundle 1 - Phase 1",7,"*N/A","","","","","","Q4-2016"
845,"SHIP CONSTRUCTION","Louth","CPO Bundle 1 - Phase 2",5,"*N/A","","","","","","Q2-2017"
846,"SHIP CONSTRUCTION","Louth","CPO Bundle 1 - Phase 3",3,"*N/A","","","","","","Q3-2017"
847,"SHIP CONSTRUCTION","Louth","Woodlands, Dunleer",4,"*N/A","","","","","","Q4-2016"
848,"SHIP CONSTRUCTION","Louth","Boice Court (Phase 2 - 4)",69,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
849,"SHIP CONSTRUCTION","Louth","Father Finn Park (Phase 2)",17,"*N/A","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
850,"SHIP CONSTRUCTION","Louth","CPO Bundle 1 - Phase 4",7,"*N/A","","","","","","Q4-2017"
851,"SHIP CONSTRUCTION","Louth","Mount Avenue, Dundalk",75,"*N/A","Stage 1 approved Q4-2017, outline design and costs being prepared.","","","","",""
852,"SHIP CONSTRUCTION","Louth","CPO Bundle 1 - Phase 5",1,"*N/A","","","","","","Q3-2018"
853,"SHIP CONSTRUCTION","Louth","CPO Bundle 2 - Phase 2",1,"*N/A","","","","","","Q3-2018"
854,"SHIP CONSTRUCTION","Louth","CPO Bundle 2 - Phase 5",5,"*N/A","","","","","Q3-2017",""
855,"SHIP CONSTRUCTION","Louth","CPO Bundle 3 - Phase 1",2,"*N/A","","","","","","Q2-2017"
856,"SHIP CONSTRUCTION","Louth","CPO Bundle 3 - Phase 2",1,"*N/A","","","","","","Q3-2017"
857,"SHIP CONSTRUCTION","Louth","CPO Bundle 3 - Phase 3",4,"*N/A","","","","","","Q4-2017"
858,"SHIP CONSTRUCTION","Louth","CPO Bundle 4 - Phase 1",1,"*N/A","","","","","","Q3-2018"
859,"SHIP CONSTRUCTION","Louth","CPO Bundle 1 - Phase 6",1,"*N/A","Stage 1 approved Q1-2016, outline design and costs being prepared.","","","","",""
860,"SHIP CONSTRUCTION","Louth","CPO Bundle 3 - Phase 4",1,"*N/A","","","","","","Q2-2018"
861,"SHIP CONSTRUCTION","Louth","CPO Bundle 3 - Phase 5",4,"*N/A","","","","","","Q3-2018"
862,"SHIP CONSTRUCTION","Louth","CPO Bundle 2 - Phase 3",1,"*N/A","","","","","Q3-2017",""
863,"SHIP CONSTRUCTION","Louth","CPO Bundle 2 - Phase 4",1,"*N/A","","","","","","Q4-2018"
864,"SHIP CONSTRUCTION","Louth","CPO Bundle 4 - Phase 2",4,"*N/A","","","","","","Q4-2018"
865,"SHIP CONSTRUCTION","Louth","CPO Bundle 3 - Phase 6",5,"*N/A","","","","","","Q4-2018"
866,"SHIP CONSTRUCTION","Louth","CPO Bundle",1,"*N/A","","","","","","Q4-2018"
867,"REGENERATION","Louth","Cox's Demesne Phase 2a",14,"*N/A","","","","","","Q4-2016"
868,"REGENERATION","Louth","Cox's Demesne Phase 2b",22,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
869,"CAS CONSTRUCTION","Louth","Slieveroe Cresent, Dundalk",1,"Cluid Housing Association","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
870,"CAS CONSTRUCTION","Louth","Castletowncooley, Riverstown, Dundalk",1,"T�ath Housing Association Ltd","","Stage 2 approved Q4-2017, full design/tender being prepared.","","","",""
871,"CAS CONSTRUCTION","Louth","Barrack Street, Dundalk",21,"Simon Community : Dundalk Simon","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
872,"CAS CONSTRUCTION","Louth","Saltown, Dundalk",7,"North ? East Housing Association Ltd","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
873,"CAS CONSTRUCTION","Louth","McArdle Green (Moneymore), Drogheda",1,"North ? East Housing Association Ltd","","","","","","Q4-2018"
874,"CAS CONSTRUCTION","Louth","Tierney Street, Ardee",7,"Oaklee Housing Trust","","","Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.","","",""
875,"CAS CONSTRUCTION","Louth","Tredagh View, Drogheda",1,"Respond","","","","","","Q1-2017"
876,"CAS CONSTRUCTION","Louth","Strand Hill, Clogherhead",4,"St. John of God Housing Association Ltd","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
877,"CAS CONSTRUCTION","Louth","Coulter Park",6,"T�ath Housing Association Ltd","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
878,"CAS CONSTRUCTION","Louth","Four Winds, Mullacapple, Collon",1,"St. John of God Housing Association Ltd","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
879,"CAS CONSTRUCTION","Louth","St. John's Home, Peter's Hill, Drogheda, Co. Louth",4,"North ? East Housing Association Ltd","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
880,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Louth","Ravel Ardee Road, Dunleer",80,"*N/A","","","","Q3-2018","",""
881,"CALF Turnkey","Mayo","The Sycamores, Ballina (Phase 1)",11,"Cluid Housing","","","","Q1-2018","",""
882,"CALF Turnkey","Mayo","Glenlara, Westport, Co Mayo  (Phase 1)",10,"Co-operative Housing Ireland","","","","","Q2-2018",""
883,"CALF Turnkey","Mayo","Monamore, Lodge Road, Westport, Co. Mayo (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","Q3-2018",""
884,"SHIP CONSTRUCTION TURNKEY","Mayo","Carrabeg, Newport Road, Castlebar",2,"*N/A","","","","","","Q4-2018"
885,"SHIP CONSTRUCTION SINGLE STAGE","Mayo","Pound Road, Castlebar",6,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
886,"SHIP CONSTRUCTION","Mayo","Knocknageeha, Newport",1,"*N/A","","","","","Q2-2018",""
887,"SHIP CONSTRUCTION","Mayo","Kilkelly Road, Knock (Phase 3)",4,"*N/A","","","","","","Q3-2018"
888,"SHIP CONSTRUCTION","Mayo","Kilmeena (Phase 2)",4,"*N/A","","","","","","Q3-2018"
889,"SHIP CONSTRUCTION","Mayo","Knockmore, Ballina",8,"*N/A","","","","","Q4-2017",""
890,"SHIP CONSTRUCTION","Mayo","Radharc an tSaillin, Binghamstown, Belmullet (Phase 2)",4,"*N/A","","","","","Q3-2018",""
891,"SHIP CONSTRUCTION","Mayo","Sliabh Rua, Foxford (Phase 3)",10,"*N/A","","","","","Q4-2018",""
892,"SHIP CONSTRUCTION","Mayo","Woodlands, Balla (Phase 3)",4,"*N/A","","","","","Q4-2018",""
893,"SHIP CONSTRUCTION","Mayo","Slinaunroe, Clogher (SRD)",1,"*N/A","","","","","","Q2-2017"
894,"SHIP CONSTRUCTION","Mayo","Abbeyquarter, Ballyhaunis",18,"*N/A","","","Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.","","",""
895,"SHIP CONSTRUCTION","Mayo","Tonragee West, Achill (Phase 2)",5,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
896,"SHIP CONSTRUCTION","Mayo","Sli na Roba, Friarsquarter, Ballinrobe",16,"*N/A","","","","","Q4-2018",""
897,"SHIP CONSTRUCTION","Mayo","Marian Crescent, Ballina",4,"*N/A","","","","","","Q2-2018"
898,"SHIP CONSTRUCTION","Mayo","Tubberhill, Westport (Phase 3)",21,"*N/A","","","","","","Q1-2018"
899,"SHIP CONSTRUCTION","Mayo","St. Patrick's Terrace, Westport",1,"*N/A","","","","","","Q3-2017"
900,"SHIP CONSTRUCTION","Mayo","Parke, Castlebar",8,"*N/A","","","","","Q4-2018",""
901,"SHIP CONSTRUCTION","Mayo","Killavally",10,"*N/A","","","","","Q4-2018",""
902,"SHIP CONSTRUCTION","Mayo","Lios na Circa, Saleen, Castlebar",22,"*N/A","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
903,"SHIP CONSTRUCTION","Mayo","Kilkelly Road, Swinford",27,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
904,"SHIP CONSTRUCTION","Mayo","Barhauve, Rossport (SRD)",1,"*N/A","","","","","","Q2-2018"
905,"SHIP CONSTRUCTION","Mayo","Glaggaun, Ballycroy (SRD)",1,"*N/A","","","","","","Q4-2017"
906,"SHIP CONSTRUCTION","Mayo","Glengad, Pollatomish (SRD)",1,"*N/A","","","","","","Q2-2018"
907,"SHIP CONSTRUCTION","Mayo","Gorthbrack, Inver (SRD)",1,"*N/A","","","","","","Q1-2018"
908,"CAS CONSTRUCTION","Mayo","Admiral Browne Road, Foxford (Phase 2)",4,"Society of Saint Vincent de Paul","","","","","","Q1-2018"
909,"CAS CONSTRUCTION","Mayo","Killosheehan, Ballinrobe",6,"Society of Saint Vincent de Paul","","","","","","Q4-2018"
910,"CAS CONSTRUCTION","Mayo","Admiral Browne Road, Foxford (Phase 1)",8,"Society of Saint Vincent de Paul","","","","","","Q3-2016"
911,"CAS CONSTRUCTION","Mayo","Logmore, Belmullet",7,"Irish Wheelchair Association Ltd","","","","","","Q2-2017"
912,"CALF Turnkey","Meath","Sl�n Duff, Kentstown, Co. Meath (Phase 1)",2,"Cluid Housing","","","","","Q1-2018",""
913,"CALF Turnkey","Meath","Commons Road, Navan, Co Meath  (Phase 1)",12,"North & East Housing Association Ltd","","","","","Q2-2018",""
914,"CALF Turnkey","Meath","Eastham Square, Bettystown, Meath (Phase 1)*",5,"Cluid Housing","","","","","Q2-2018",""
915,"CALF Turnkey","Meath","Fitzherbert Wood, Slane Road, Navan, Co Meath  (Phase 2)",12,"T�ath Housing Association Ltd","","","","","Q2-2018",""
916,"CALF Turnkey","Meath"," Fitzherbert Wood, Slane Road, Navan, Co Meath  (Phase 3)",15,"T�ath Housing Association Ltd","","","","","Q2-2018",""
917,"CALF Turnkey","Meath"," Fitzherbert Wood, Slane Road, Navan, Co Meath  (Phase 4)",14,"T�ath Housing Association Ltd","","","","","Q2-2018",""
918,"CALF Turnkey","Meath","Commons Road, Navan, Co. Meath (Phase 1)",20,"T�ath Housing Association Ltd","","","","","Q3-2018",""
919,"CALF Turnkey","Meath","Commons Road, Navan, Co. Meath (Phase 2)",19,"T�ath Housing Association Ltd","","","","","Q3-2018",""
920,"CALF Turnkey","Meath","Commons Road, Navan, Co. Meath (Phase 3)",15,"T�ath Housing Association Ltd","","","","","Q3-2018",""
921,"CALF Turnkey","Meath","Churchfields, Ashbourne, Meath (Phase 2)*",15,"T�ath Housing Association Ltd","","","","","Q4-2018",""
922,"CALF Turnkey","Meath","Maudelins Brook, Duleek, Co.Meath (Phase 1)",20,"Respond","","","","","Q4-2018",""
923,"CALF Turnkey","Meath","Broadmeadow Vale, Ratoath, Meath (Phase 1)*",1,"T�ath Housing Association Ltd","","","","","Q4-2017",""
924,"CALF Turnkey","Meath","Broadmeadow Vale, Ratoath, Meath (Phase 2)*",1,"T�ath Housing Association Ltd","","","","","Q4-2017",""
925,"CALF Turnkey","Meath","Broadmeadow Vale, Ratoath, Meath (Phase 3)*",10,"T�ath Housing Association Ltd","","","","","Q4-2017",""
926,"CALF Turnkey","Meath","Fredrick Manor, Ashbourne, Co. Meath (Phase 1)",4,"Cluid Housing","","","","","Q4-2017",""
927,"CALF Turnkey","Meath","Fredrick Manor, Ashbourne, Co. Meath (Phase 2)",7,"Cluid Housing","","","","","Q4-2017",""
928,"CALF Turnkey","Meath","Mill Lane, Flower Hill, Navan, Co Meath (Phase 1)",20,"Oaklee Housing","","","","","","Q1-2016"
929,"CALF Turnkey","Meath","Tubberclaire, Navan, Co Meath (Phase 1)",23,"Cluid Housing","","","","","","Q2-2016"
930,"CALF Turnkey","Meath","Churchfields, Ashbourne, Co Meath (Phase 1)*",8,"T�ath Housing Association Ltd","","","","","","Q2-2017"
931,"CALF Turnkey","Meath","Royal Oaks, Enfield, Co Meath (Phase 1)*",4,"Cluid Housing","","","","","","Q2-2017"
932,"CALF Turnkey","Meath","Seabury Lawns, Mornington, Co. Meath (Phase 1)",25,"Cluid Housing","","","","","","Q3-2017"
933,"CALF Turnkey","Meath","6 Units Seabury Lawns, Mornington, Co Meath (Phase 1)",6,"Cluid Housing","","","","","","Q1-2018"
934,"CALF Turnkey","Meath","Dunville, Athlumney, Co Meath  (Phase 1)",10,"T�ath Housing Association Ltd","","","","","","Q1-2018"
935,"CALF Turnkey","Meath","Dunville, Athlumney, Co Meath  (Phase 2)*",8,"T�ath Housing Association Ltd","","","","","","Q1-2018"
936,"CALF Turnkey","Meath","Kellets Grove, Dunshauglin, Co Meath  (Phase 1)*",6,"T�ath Housing Association Ltd","","","","","","Q1-2018"
937,"CALF Turnkey","Meath","Ceamach Close, Donacarney, Co Meath  (Phase 1)",7,"Cluid Housing","","","","","","Q2-2018"
938,"CALF Turnkey","Meath","Dunville, Athlumney, Co Meath  (Phase 3)",4,"T�ath Housing Association Ltd","","","","","","Q2-2018"
939,"CALF Turnkey","Meath","Dunville, Athlumney, Co Meath  (Phase 4)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2018"
940,"CALF Turnkey","Meath","Dunville, Athlumney, Co Meath  (Phase 5)*",18,"T�ath Housing Association Ltd","","","","","","Q2-2018"
941,"CALF Turnkey","Meath","Grangehall, Dunshaughlin (Phase 1)",7,"T�ath Housing Association Ltd","","","","","","Q2-2018"
942,"CALF Turnkey","Meath","Millrace Court, Emmet Street, Trim, Co Meath  (Phase 1)",11,"North & East Housing Association Ltd","","","","","","Q2-2018"
943,"CALF Turnkey","Meath","Ceamach Close, Donacarney, Co Meath  (Phase 2)*",9,"Cluid Housing","","","","","","Q3-2018"
944,"CALF Turnkey","Meath","Dunville, Athlumney, Co Meath  (Phase 6)",12,"T�ath Housing Association Ltd","","","","","","Q3-2018"
945,"CALF Turnkey","Meath","Fitzherbert Wood, Slane Road, Navan, Co Meath  (Phase 1)*",1,"T�ath Housing Association Ltd","","","","","","Q3-2018"
946,"CALF Turnkey","Meath","18 units Churchfields, Ashbourne, Co. Meath (Phase 1)",18,"T�ath Housing Association Ltd","","","","","","Q4-2018"
947,"CALF Turnkey","Meath","Ardmore Rise, Bettystown, Co Meath  (Phase 1)",1,"North & East Housing Association Ltd","","","","","","Q4-2018"
948,"CALF Turnkey","Meath","BlackCastle,Slane Road, Navan, Co. Meath (Phase 1)",9,"T�ath Housing Association Ltd","","","","","","Q4-2018"
949,"CALF Turnkey","Meath","Churchfields, Ashbourne, Meath (Phase 1)*",10,"T�ath Housing Association Ltd","","","","","","Q4-2018"
950,"CALF Turnkey","Meath","Fitzherbert Wood, Slane Road, Navan, Co Meath  (Phase 1)",3,"T�ath Housing Association Ltd","","","","","","Q4-2018"
951,"CALF Turnkey","Meath","Station Road, Dunboyne, Co. Meath (Phase 1)",24,"Respond","","","","","","Q4-2018"
952,"CALF Turnkey","Meath","Milltown, Ashbourne, Co Meath (Phase 1)",11,"Cluid Housing","","","","","","Q1-2017"
953,"CALF Turnkey","Meath","Cherryvalley, Rathmoylan, Co Meath (Phase 1)",9,"Cluid Housing","","","","","","Q4-2017"
954,"CALF Turnkey","Meath","Milltown, Ashbourne, Co Meath (Phase 2)",36,"Cluid Housing","","","","","","Q4-2017"
955,"CALF Turnkey","Meath","Milltown, Ashbourne, Co Meath (Phase 3)",20,"Cluid Housing","","","","","","Q4-2017"
956,"SHIP CONSTRUCTION TURNKEY","Meath","Cois Glaisin, Navan",24,"*N/A","","","","","","Q4-2018"
957,"SHIP CONSTRUCTION TURNKEY","Meath","Clonmagadden, Navan",16,"*N/A","","","","","","Q4-2018"
958,"SHIP CONSTRUCTION SINGLE STAGE","Meath","Proudstown Road, Navan",4,"*N/A","","","","","","Q4-2018"
959,"SHIP CONSTRUCTION SINGLE STAGE","Meath","The Belfry, Trim",3,"*N/A","","","","Stage 4 approved Q3-2018, the scheme is fully approved.","",""
960,"SHIP CONSTRUCTION RAPID","Meath","Kilmainhamwood",4,"*N/A","","","","","Q4-2018",""
961,"SHIP CONSTRUCTION RAPID","Meath","Cortown",10,"*N/A","","","","","Q4-2018",""
962,"SHIP CONSTRUCTION RAPID","Meath","Oldcastle",16,"*N/A","","","","","Q4-2018",""
963,"SHIP CONSTRUCTION","Meath","Bettystown (Phase 2)",15,"*N/A","","","","","Q3-2018",""
964,"SHIP CONSTRUCTION","Meath","St. Oliver's, Ratoath",17,"*N/A","","","","","Q1-2018",""
965,"SHIP CONSTRUCTION","Meath","Riverside, Kells",40,"*N/A","","","","","Q4-2018",""
966,"SHIP CONSTRUCTION","Meath","Cherry Court, Summerhill",19,"*N/A","","","","","Q4-2017",""
967,"SHIP CONSTRUCTION","Meath","Connaught Grove, Athboy",32,"*N/A","","","","","","Q2-2018"
968,"SHIP CONSTRUCTION","Meath","Nobber",19,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
969,"SHIP CONSTRUCTION","Meath","Carlanstown",13,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
970,"SHIP CONSTRUCTION","Meath","Donore",21,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
971,"SHIP CONSTRUCTION","Meath","Dunshaughlin",26,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
972,"SHIP CONSTRUCTION","Meath","Bettystown (Phase 1)",16,"*N/A","","","","","","Q3-2017"
973,"SHIP CONSTRUCTION","Meath","Farganstown",42,"*N/A","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
974,"SHIP CONSTRUCTION","Meath","Blackhill Crescent, Donacarney",2,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
975,"SHIP CONSTRUCTION","Meath","Archdeaconary Glebe, Kells",20,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
976,"SHIP CONSTRUCTION","Meath","Nangle Court, Navan",6,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
977,"SHIP CONSTRUCTION","Meath","Dept of Education site, Castle Street, Ashbourne",55,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
978,"SHIP CONSTRUCTION","Meath","Church View, Rathmolyon",9,"*N/A","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
979,"CAS CONSTRUCTION","Meath","Blackcastle, Slane Road, Navan",17,"T�ath Housing Association Ltd","","","","","","Q4-2018"
980,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 1)",11,"T�ath Housing Association Ltd","","","","Q3-2018","",""
981,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 2)",8,"T�ath Housing Association Ltd","","","","Q3-2018","",""
982,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 3)",11,"T�ath Housing Association Ltd","","","","Q3-2018","",""
983,"CALF Turnkey","Monaghan","Bree, Castleblayney, Co. Monaghan (Phase 4)",8,"T�ath Housing Association Ltd","","","","Q3-2018","",""
984,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 1)",7,"T�ath Housing Association Ltd","","","","Q4-2017","",""
985,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 2)",14,"T�ath Housing Association Ltd","","","","Q4-2017","",""
986,"CALF Turnkey","Monaghan","Magheross, Carrickmacross, Co Monaghan (Phase 3)",12,"T�ath Housing Association Ltd","","","","Q4-2017","",""
987,"CALF Turnkey","Monaghan","Kingscourt Road, Carrickmacross, Co Monagahan  (Phase 1)",50,"Respond","","","","","Q2-2018",""
988,"CALF Construction","Monaghan"," Liseggerton Road, Clones (Phase 1)",6,"Oaklee Housing","","","","","","Q4-2018"
989,"SHIP CONSTRUCTION TURNKEY","Monaghan","Drumbear Wood, Monaghan Town",12,"*N/A","","","","","","Q4-2017"
