"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
830,"SHIP CONSTRUCTION","Fingal","Tucketts Lane, Howth",8,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
831,"SHIP CONSTRUCTION","Fingal","Wellview",20,"*N/A","","","","","Q3-2020",""
832,"SHIP CONSTRUCTION","Fingal","Rowlestown",6,"*N/A","","","","","","Q4-2019"
833,"SHIP CONSTRUCTION","Fingal","Rowlestown",6,"*N/A","","","","","","Q4-2019"
834,"SHIP CONSTRUCTION","Fingal","Cappaghfinn, Cappagh Road Finglas - Phase 3",69,"*N/A","","","","","Q4-2020",""
835,"SHIP CONSTRUCTION","Fingal","Rowlestown",4,"*N/A","","","","","","Q3-2019"
836,"SHIP CONSTRUCTION","Fingal","Leonards Garage, Lusk",10,"*N/A","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
837,"SHIP CONSTRUCTION","Fingal","Katie Hunt's Cottage, Church Road, Lusk",5,"*N/A","","","","","Q3-2021",""
838,"CAS CONSTRUCTION","Fingal","Killhedge Lane Dun Emer",31,"T�ath Housing Association Ltd","","","","","Q3-2021",""
839,"CAS CONSTRUCTION","Fingal","Ravenswood, North Road, Finglas",6,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
840,"CAS CONSTRUCTION","Fingal","22 College Street, Baldoyle",4,"Cluid Housing Association","","","","","Q3-2020",""
841,"CAS CONSTRUCTION","Fingal","Darcystown, Ringfort, Balrothery",9,"North ? East Housing Association Ltd","","","","","","Q3-2017"
842,"CAS CONSTRUCTION","Fingal","Estuary Road, Malahide",8,"Society of Saint Vincent de Paul","","","","","","Q2-2018"
843,"CAS CONSTRUCTION","Fingal","Garristown",6,"North ? East Housing Association Ltd","","","","","Q3-2021",""
844,"CALF Turnkey","Fingal","4 units, Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",4,"Cl�id Housing","","","","","","Q4-2018"
845,"CALF Turnkey","Fingal","Allendale Square, Clonsilla, Dublin 15 (Phase 1)*",28,"Respond","","","","","","Q2-2020"
846,"CALF Turnkey","Fingal","An Muileann, Kettles Lane, Swords, Dublin (Phase 1)",24,"Circle Voluntary Housing Association Ltd","","","","","","Q4-2019"
847,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",12,"Tuath Housing Association","","","","","","Q4-2018"
848,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 2)*",12,"Tuath Housing Association","","","","","","Q4-2018"
849,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 1)",10,"Tuath Housing Association","","","","","Q4-2019",""
850,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 2)",10,"Tuath Housing Association","","","","","Q4-2019",""
851,"CALF Turnkey","Fingal","Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 3)",29,"Tuath Housing Association","","","","","Q4-2019",""
852,"CALF Turnkey","Fingal","Bellingsmore, Hollywoodrath, Dubin 15 (Phase 1)",29,"Tuath Housing Association","","","","","","Q4-2020"
853,"CALF Turnkey","Fingal","Bellingsmore, Hollywoodrath, Dubin 15 (Phase 2)",12,"Tuath Housing Association","","","","","","Q4-2020"
854,"CALF Turnkey","Fingal","Bellingsmore, Hollywoodrath, Dublin 15  (Phase 1)*",17,"Tuath Housing Association","","","","","","Q2-2021"
855,"CALF Turnkey","Fingal","Bellingsmore, Hollywoodrath, Dublin 15  (Phase 2)",21,"Tuath Housing Association","","","","","Q4-2019",""
856,"CALF Turnkey","Fingal","Beresford, Oakstown, Donabate, Co. Dublin (Phase 1)*",36,"Tuath Housing Association","","","","","Q3-2020",""
857,"CALF Turnkey","Fingal","Beresford, Oakstown, Donabate, Co. Dublin (Phase 2)*",4,"Tuath Housing Association","","","","","Q3-2020",""
858,"CALF Turnkey","Fingal","Carrs Lane, Malahide Road, Dublin 17 (Phase 1)*",29,"Respond","","","","","","Q2-2021"
859,"CALF Turnkey","Fingal","Carrs Lane, Malahide Road, Dublin 17 (Phase 2)*",30,"Respond","","","","","Q4-2019",""
860,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 1)",5,"Tuath Housing Association","","","","","","Q2-2016"
861,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 2)",7,"Tuath Housing Association","","","","","","Q3-2016"
862,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 3)",7,"Tuath Housing Association","","","","","","Q4-2016"
863,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 4)",21,"Tuath Housing Association","","","","","","Q1-2017"
864,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 5)",8,"Tuath Housing Association","","","","","","Q2-2017"
865,"CALF Turnkey","Fingal","Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 1)*",90,"Respond","","","","","Q3-2019",""
866,"CALF Turnkey","Fingal","Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 2)*",48,"Respond","","","","","Q3-2019",""
867,"CALF Turnkey","Fingal","Cois Sruthan, Ballyboughal, Co.Dublin (Phase 1)*",17,"Oaklee Housing","","","","","","Q3-2020"
868,"CALF Turnkey","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 1)",11,"Tuath Housing Association","","","","","","Q4-2019"
869,"CALF Turnkey","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 2)*",6,"Tuath Housing Association","","","","","","Q2-2021"
870,"CALF Turnkey","Fingal","Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin\n\n (Phase 1)*",10,"Cl�id Housing","","","","","","Q2-2020"
871,"CALF Turnkey","Fingal","Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin\n\n (Phase 2)*",5,"Cl�id Housing","","","","","","Q4-2020"
872,"CALF Turnkey","Fingal","Dunsoghly, Dublin 11 (Phase 1)*",19,"Cl�id Housing","","","","","","Q4-2020"
873,"CALF Turnkey","Fingal","Knightsgate, Rush, Co. Dublin (Phase 1)*",38,"Cl�id Housing","","","","","","Q4-2019"
874,"CALF Turnkey","Fingal","Knightsgate, Rush, Co. Dublin (phase 2) (Phase 1)",19,"Cl�id Housing","","","","","","Q3-2020"
875,"CALF Construction","Fingal","Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,"Cl�id Housing","","","","","Q4-2018",""
876,"CALF Turnkey","Fingal","Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,"Cl�id Housing","","","","","","Q4-2018"
877,"CALF Turnkey","Fingal","Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,"Respond","","","","","","Q3-2018"
878,"CALF Turnkey","Fingal","Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",28,"The Iveagh Trust","","","","","","Q4-2020"
879,"CALF Turnkey","Fingal","Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,"The Iveagh Trust","","","","","","Q4-2019"
880,"CALF Turnkey","Fingal","Norseman's Court, Norseman's Walk, Lusk Village, Lusk, Co. Dublin (Phase 1)*",18,"Cl�id Housing","","","","","","Q4-2020"
881,"CALF Turnkey","Fingal","Northwood Avenue, Ballymun Cross, Santry, Dublin 9 (Phase 1)*",12,"Respond","","","","Q2-2021","",""
882,"CALF Turnkey","Fingal","Northwood Green, Santry, Dublin 9 (Phase 1)*",6,"Respond","","","","","","Q4-2018"
883,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",48,"Respond","","","","","","Q4-2019"
884,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 2)*",7,"Respond","","","","","","Q2-2020"
885,"CALF Construction","Fingal","Old Coolock Lane, Santry, Dublin 9 (Phase 1)",28,"Circle Voluntary Housing Association Ltd","","","","Q1-2019","",""
886,"CALF Turnkey","Fingal","Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)",17,"Respond","","","","","","Q4-2020"
887,"CALF Turnkey","Fingal","Old Corduff Road, Blanchardstown, Dublin 15 (Phase 2)*",10,"Respond","","","","","","Q2-2021"
888,"CALF Turnkey","Fingal","Oldtown, Swords, Co Dublin (Phase 1)",30,"Respond","","","","Q3-2021","",""
889,"CALF Turnkey","Fingal","Oldtown, Swords, Co Dublin (Phase 2)",30,"Respond","","","","Q3-2021","",""
890,"CALF Turnkey","Fingal","Oldtown, Swords, Co Dublin (Phase 3)",39,"Respond","","","","Q3-2021","",""
891,"CALF Turnkey","Fingal","Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,"Tuath Housing Association","","","","","","Q3-2019"
892,"CALF Turnkey","Fingal","Phoenix Park Avenue, Castleknock, Dublin 15 (Phase 1)*",31,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
893,"CALF Turnkey","Fingal","Riverwood Square, Porterstown, Dublin 15 (Phase 1)*",24,"Cl�id Housing","","","","","","Q3-2021"
894,"CALF Turnkey","Fingal","Semple Woods, Donabate, Co. Dublin (Phase 1)*",7,"Tuath Housing Association","","","","","","Q4-2020"
895,"CALF Turnkey","Fingal","Semple Woods, Donabate, Co. Dublin (Phase 2)*",3,"Tuath Housing Association","","","","","Q4-2019",""
896,"CALF Turnkey","Fingal","Semple Woods, Donabate, North County Dublin (Phase 1)*",30,"Tuath Housing Association","","","","","","Q4-2019"
897,"CALF Turnkey","Fingal","St Josephs, Clonsilla, Dublin 15 (Phase 1)*",28,"Cl�id Housing","","","","","Q2-2019",""
898,"CALF Turnkey","Fingal","St Marnock�s Bay, Portmarnock, Co Dublin   (Phase 1)*",10,"Cl�id Housing","","","","","","Q4-2017"
899,"CALF Turnkey","Fingal","St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*",18,"Tuath Housing Association","","","","","","Q4-2017"
900,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
901,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 2)*",8,"Circle Voluntary Housing Association Ltd","","","","","Q4-2017",""
902,"CALF Turnkey","Fingal","Taylor Hill Crescent, Balbriggan, Co. Dublin (Phase 1)",4,"Cl�id Housing","","","","","","Q4-2018"
903,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",21,"Cl�id Housing","","","","","","Q2-2020"
904,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,"Cl�id Housing","","","","","","Q4-2018"
905,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",24,"Cl�id Housing","","","","","","Q4-2019"
906,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",7,"Cl�id Housing","","","","","Q3-2020",""
907,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 2)",1,"Cl�id Housing","","","","","","Q4-2020"
908,"CALF Turnkey","Fingal","The Forge, Lusk, Co. Dublin (Phase 1)",8,"Oaklee Housing","","","","","","Q4-2019"
909,"CALF Turnkey","Fingal","The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,"Cl�id Housing","","","","","","Q4-2017"
910,"CALF Turnkey","Fingal","Waterside, Malahide, Dublin (Phase 1)",5,"Cl�id Housing","","","","","","Q4-2020"
911,"CALF Turnkey","Fingal","Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
912,"CALF Turnkey","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 1)",24,"Oaklee Housing","","","","","","Q4-2019"
913,"CALF Turnkey","Fingal","Weston, Feltrim Road, Swords, North County Dublin (Phase 2)*",10,"Oaklee Housing","","","","","","Q3-2020"
914,"CALF Turnkey","Fingal"," Wrens Hill, (Formerly The Galleries),  Donabate, Co. Dublin (Phase 1)",43,"Oaklee Housing","","","","","","Q4-2019"
915,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road",6,"*N/A","","","","","","Q3-2019"
916,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road",16,"*N/A","","","","","","Q4-2019"
917,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road",7,"*N/A","","","","","","Q4-2019"
918,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road",13,"*N/A","","","","","","Q3-2020"
919,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road",8,"*N/A","","","","","","Q4-2020"
920,"SHIP CONSTRUCTION TURNKEY","Galway City","Garra� Caol, (Coast Road Site) Dublin Road",26,"*N/A","","","","","Q1-2020",""
921,"SHIP CONSTRUCTION TURNKEY","Galway City","Garra� Caol, (Coast Road Site) Dublin Road",22,"*N/A","","","","","Q1-2020",""
922,"SHIP CONSTRUCTION","Galway City","Ard Cr�, Ballymoneen Road (Phase 2)",78,"*N/A","","","","","","Q4-2020"
923,"SHIP CONSTRUCTION","Galway City","Ard Cr�, Ballymoneen Road (Phase 1)",14,"*N/A","","","","","","Q2-2018"
924,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",15,"*N/A","","","Stage 3 approved Q2-2021, the scheme is now approved to proceed to tender.","","",""
925,"SHIP CONSTRUCTION","Galway City","Garra� Beag, Monivea Road, Ballybaan More",58,"*N/A","","","","","Q1-2020",""
926,"SHIP CONSTRUCTION","Galway City","Headford Road, Castlegar",24,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
927,"SHIP CONSTRUCTION","Galway City","Keeraun, Ballymoneen Road",63,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
928,"SHIP CONSTRUCTION","Galway City","Tirellan Heights, Headford Road",1,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
929,"SHIP CONSTRUCTION","Galway City","Merlin Park Lands, Galway City",18,"*N/A","","Stage 2 approved Q2-2021, full design/tender being prepared.","","","",""
930,"SHIP CONSTRUCTION","Galway City","1 Munster Avenue, Galway city",4,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
931,"CAS CONSTRUCTION","Galway City","97/98 Rockfield",4,"Carraig Dubh Housing Association","","","","","","Q1-2018"
932,"CAS CONSTRUCTION","Galway City","Cul Garrai, Rahoon",6,"Peter Triest Housing Association Ltd","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
933,"CAS CONSTRUCTION","Galway City","47 Forster Street, Galway City (Domestic Violence Refuge)",9,"Cope Galway","","","","","","Q4-2019"
934,"CAS CONSTRUCTION","Galway City","Doughiska, Galway City",7,"Respond","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
935,"CAS CONSTRUCTION","Galway City","111 Upper Newcastle Road, Galway City",10,"Simon Community : North West Simon","","Stage 2 approved Q2-2021, full design/tender being prepared.","","","",""
936,"CALF Turnkey","Galway City","Ballybanemor Road, Ballybrit, Galway (Phase 1)*",52,"Respond","","","","","Q2-2021",""
937,"CALF Turnkey","Galway City","Ballybanemor Road, Ballybrit, Galway (Phase 2)",49,"Respond","","","","","Q2-2021",""
938,"CALF Turnkey","Galway City","Belmont, Renmore, Galway City (Phase 1)*",16,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
939,"CALF Turnkey","Galway City","Block C, Sraith Fhada, Doughiska, Galway (Phase 1)",11,"Tuath Housing Association","","","","","","Q4-2020"
940,"CALF Turnkey","Galway City","Block D, Sraith Fhada, Doughiska, Galway (Phase 1)",14,"Tuath Housing Association","","","","","","Q4-2019"
941,"CALF Turnkey","Galway City","Boireann Beag, Ros Cam, Galway (Phase 1)",16,"Cl�id Housing","","","","","","Q4-2016"
942,"CALF Turnkey","Galway City","Breacan, Letteragh Road, Galway City (Phase 1)*",2,"Tuath Housing Association","","","","","","Q4-2019"
943,"CALF Turnkey","Galway City","Briar Hill, Old Monivea Road, Ballybrit, Galway (Phase 1)",7,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2020",""
944,"CALF Turnkey","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 1)",7,"Respond","","","","","","Q4-2019"
945,"CALF Turnkey","Galway City","Caireal Mor (Phase 2), Headford Road, Castlegar, Galway (Phase 2)*",8,"Respond","","","","","","Q3-2020"
946,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 1)",10,"Respond","","","","","","Q4-2019"
947,"CALF Turnkey","Galway City","Caireal Mor, Castlegar Road, Galway (Phase 2)",71,"Respond","","","","","","Q4-2020"
948,"CALF Turnkey","Galway City","Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,"Cl�id Housing","","","","","","Q3-2017"
949,"CALF Turnkey","Galway City","Creig Ard, Roscam, Galway City  (Phase 1)",9,"Cl�id Housing","","","","","","Q4-2020"
950,"CALF Turnkey","Galway City","Creig Ard, Roscam, Galway City  (Phase 2)",10,"Cl�id Housing","","","","","","Q2-2021"
951,"CALF Turnkey","Galway City","Creig Ard, Roscam, Galway City, Co. Galway (Phase 1)*",17,"Cl�id Housing","","","","","Q4-2019",""
952,"CALF Turnkey","Galway City","Cuirt Bhoirne, Roscam, Co Galway (Phase 1)*",12,"Cl�id Housing","","","","","Q3-2020",""
953,"CALF Turnkey","Galway City","Fanan, Letteragh Road, Galway (Phase 1)*",2,"Tuath Housing Association","","","","","","Q3-2021"
954,"CALF Turnkey","Galway City","Fanan, Letteragh Road, Galway (Phase 2)*",2,"Tuath Housing Association","","","","","Q4-2019",""
955,"CALF Turnkey","Galway City","Fanan, Letteragh Road, Galway (Phase 3)*",6,"Tuath Housing Association","","","","","Q4-2019",""
956,"CALF Turnkey","Galway City","Gaelcarrig, Letteragh, Galway City (Phase 1)",43,"Respond","","","","","Q3-2020",""
957,"CALF Turnkey","Galway City","Gaelcarrig, Letteragh, Galway City (Phase 2)*",40,"Respond","","","","","Q3-2020",""
958,"CALF Turnkey","Galway City","Leana Theas, Cappagh Road, Galway City (Phase 1)*",10,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2019"
959,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 1)*",10,"Cl�id Housing","","","","","","Q3-2021"
960,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 2)",13,"Cl�id Housing","","","","","Q3-2020",""
961,"CALF Turnkey","Galway City","Letteragh Road, Rahoon, Galway City (Phase 3)*",41,"Cl�id Housing","","","","","Q3-2020",""
962,"CALF Turnkey","Galway City","Maigh Rua, Doughiska, Galway  (Phase 1)",23,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2017"
963,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,"Tuath Housing Association","","","","","","Q1-2017"
964,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,"Tuath Housing Association","","","","","","Q4-2017"
965,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,"Tuath Housing Association","","","","","","Q3-2018"
966,"CALF Turnkey","Galway City","Reilean, Roscam, Block 5 Galway (Phase 1)*",12,"Tuath Housing Association","","","","","","Q2-2017"
967,"CALF Turnkey","Galway City","Reilean, Roscam,Block 4 Galway (Phase 1)*",12,"Tuath Housing Association","","","","","","Q2-2017"
968,"CALF Turnkey","Galway City","Revised Murrough, Renmore, Galway  (Phase 1)*",20,"Cl�id Housing","","","","","","Q1-2019"
969,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Galway City","Ballyburke (Phase 1)",56,"*N/A","","","","","","Q2-2021"
970,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Galway City","Ballyburke (Phase 2)",18,"*N/A","","","","","","Q3-2021"
971,"SHIP CONSTRUCTION TURNKEY","Galway County","Lorro Gate, Prospect, Athenry",14,"*N/A","","","","","","Q4-2017"
972,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",6,"*N/A","","","","","","Q4-2017"
973,"SHIP CONSTRUCTION TURNKEY","Galway County","Castlecourt, Abbey Street, Portumna",10,"*N/A","","","","","","Q4-2017"
974,"SHIP CONSTRUCTION TURNKEY","Galway County","Ashthorn Avenue, Headford",10,"*N/A","","","","","","Q4-2018"
975,"SHIP CONSTRUCTION TURNKEY","Galway County","Cuirt na hAbhann, Claregalway ",8,"*N/A","","","","","","Q4-2018"
976,"SHIP CONSTRUCTION TURNKEY","Galway County","Tullahill, Loughrea",19,"*N/A","","","","","","Q4-2019"
977,"SHIP CONSTRUCTION TURNKEY","Galway County","Tullahill, Loughrea",17,"*N/A","","","","","","Q4-2019"
978,"SHIP CONSTRUCTION TURNKEY","Galway County","Arvough, Kinvara",4,"*N/A","","","","","","Q4-2019"
979,"SHIP CONSTRUCTION TURNKEY","Galway County","Tullahill, Loughrea",10,"*N/A","","","","","","Q4-2020"
980,"SHIP CONSTRUCTION TURNKEY","Galway County","Tullahill, Loughrea",15,"*N/A","","","","","","Q4-2020"
